stratum,context,combination,architecture_label,trait_name,support_tier,threshold,model,status,n_unique_islands,n_clusters,median_trials,distance_estimate,distance_se,distance_p,selfing_core_estimate,selfing_core_se,selfing_core_p,distance_q
all_observed,northern_high_latitude,blue_purple__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,pilot,30,unconditional,fit,201,43,7.0,-0.37201352540669674,0.23035616847785337,0.10632168190623933,,,,0.17965758530584708
all_observed,northern_high_latitude,blue_purple__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,pilot,30,conditional_selfing,fit,199,43,7.0,-0.35178856675832826,0.2295455326737587,0.12538831511960383,-0.08128647209783191,0.31798828279767716,0.7982386704200233,0.19504849018605042
all_observed,northern_high_latitude,red_pink__bird_form_given_colour,bird_associated_form,floral_form,confirmatory,50,unconditional,fit,305,58,5.0,0.13578813704797116,0.08627105583494174,0.11549416198233026,,,,0.17965758530584708
all_observed,northern_high_latitude,red_pink__bird_form_given_colour,bird_associated_form,floral_form,confirmatory,50,conditional_selfing,fit,299,56,6.0,0.1413979525130844,0.08305378242677296,0.08866418640053073,-0.1356860966201599,0.1086872602036014,0.21188150742455955,0.15516232620092876
all_observed,northern_high_latitude,red_pink__bird_form_given_colour,bird_associated_form,floral_form,pilot,30,unconditional,fit,305,58,5.0,0.13578813704797116,0.08627105583494174,0.11549416198233026,,,,0.17965758530584708
all_observed,northern_high_latitude,red_pink__bird_form_given_colour,bird_associated_form,floral_form,pilot,30,conditional_selfing,fit,299,56,6.0,0.1413979525130844,0.08305378242677296,0.08866418640053073,-0.1356860966201599,0.1086872602036014,0.21188150742455955,0.15516232620092876
all_observed,northern_high_latitude,yellow_orange__bird_form_given_colour,bird_associated_form,floral_form,confirmatory,50,unconditional,fit,271,55,9.0,-0.19075343353792257,0.0732180585790907,0.009179960906820411,,,,0.025703890539097152
all_observed,northern_high_latitude,yellow_orange__bird_form_given_colour,bird_associated_form,floral_form,confirmatory,50,conditional_selfing,fit,260,54,10.0,-0.18181220726927627,0.0673165859403417,0.006916188658143095,-0.11902547467376134,0.153438823811382,0.43791467370852166,0.022337777584989164
all_observed,northern_high_latitude,yellow_orange__bird_form_given_colour,bird_associated_form,floral_form,pilot,30,unconditional,fit,271,55,9.0,-0.19075343353792257,0.0732180585790907,0.009179960906820411,,,,0.025703890539097152
all_observed,northern_high_latitude,yellow_orange__bird_form_given_colour,bird_associated_form,floral_form,pilot,30,conditional_selfing,fit,260,54,10.0,-0.18181220726927627,0.0673165859403417,0.006916188658143095,-0.11902547467376134,0.153438823811382,0.43791467370852166,0.022337777584989164
all_observed,northern_high_latitude,red_pink__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,confirmatory,50,unconditional,fit,210,43,5.0,0.14142949954657277,0.165982500724588,0.39417259949901934,,,,0.42449356869125154
all_observed,northern_high_latitude,red_pink__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,confirmatory,50,conditional_selfing,fit,204,42,5.0,0.13493535334952667,0.1681219011850432,0.42220350787016325,0.15224587943929463,0.12393364442459666,0.21927931731371753,0.45468070078325273
all_observed,northern_high_latitude,red_pink__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,pilot,30,unconditional,fit,210,43,5.0,0.14142949954657277,0.165982500724588,0.39417259949901934,,,,0.42449356869125154
