accepted_species,source_excel_row,SI,SC,Mixed mating,autonomous selfing/agagamospermy,evidence for selfing,references,notes,notes.1,notes.2,locality,review_status,source_record,source_sha256,compatibility_flag_present
Cryptostylis leptochila,2314,,1,,,1,Coleman 1927; Gaskett et al. 2008; Weomsteom 2020,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cryptostylis subulata,2316,,1,,,1,Coleman 1929; Gaskett et al. 2008; Weinstein 2020; Graham 1983 cited by Gaskett 2011,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Diuris alba,2317,,,,,,Indsto et al. 2007,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Diuris aurea,2318,,,,,,Indsto et al. 2007,Apis mellifera is non-indigenous,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Diuris maculata,2323,,1,,,1,"Beardsell et al. 1986, Indsto et al. 2006; Kuiter 2016",,Apis non-native with pollinaria*,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Diuris pardina,2325,,,,,,Beardsell et al. 1986,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Diuris pedunculata,2326,,,,,,Coleman 1932; Davies & Stpiczynska 2008; Rayment 1932,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Diuris punctata,2327,,,,,,Kuiter 2016,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Orthoceras strictum,2329,,1,,1,1,"Rogers 1913; Fitzgerald 1877, and Molloy 1990 cited by Bower 2001i",Observational,,,Austra NZ N Caledonia,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Arthrochilus irritabilis,2331,,,,,,Brown 1996 cited by Bower 2001j,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Caleana major,2332,,,,,,Kuiter 2016,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Lyperanthus suaveolens,2371,,,,,,Bower 2001k,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pyrorchis nigricans,2374,,,,,,Hoffman & Brown 1992 cited by Bower 2001m; Brundrett 2019,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Waireia stenopetala,2375,,1,,1,2,Molloy 1990 cited by Bower 2001n,,,,NZ,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Genoplesium archeri,2376,,1,1,1,,Garnett 1940; Bower 2001o; Towlie et al.2020,,autogamous in part of range,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Genoplesium despectans,2378,,,,,,Garnett 1940; D.L. Jones & D. Colless in Bower 2001o,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Genoplesium morrisii,2383,,,,,,Garnet 1940; D.L. Jones & D. Colless in Bower 2001o,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Genoplesium nigricans,2384,,,,,,D. L. Jones & D. Colless in Bower 2001o,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Genoplesium pumilum,2386,,1,,1,2,Jones 1972  ,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Genoplesium rufum,2387,,,,,,A.E. Logan & D.K. McAlpine in Bower 2001o; Jones 1970d,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Microtis media,2389,,1,1,1,2,Brundrett 2019,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Microtis unifolia,2391,,1,1,1,2,Kuiter 2016,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Prasophyllum elatum,2392,,,,,,Scaccabarozzi et al. 2024,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Prasophyllum alpinum,2393,,1,,,1,Jones 1970,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Prasophyllum calcicola,2394,,1,,1,1,Bates 1982,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Prasophyllum colensoi,2395,,1,,1,2,Thomson 1878,,,,NZ,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Prasophyllum elatum,2397,,,,,1,Bates 1984 cited by Bower 2001q,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Prasophyllum fitzgeraldii,2399,,1,,1,,Bates 1978 cited by Catling 1990,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Prasophyllum frenchii,2400,,1,,,1,Freestone 20922,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Prasophyllum fuscum,2401,,1,,1,,Bates 1978 cited by Catling 1990,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Prasophyllum gracile,2403,,1,,1,,Coleman 1933; Bates 1978c cited by Beardsell & Bernhardt 1982,,not verified,,Austra ,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Prasophyllum lindleyanum,2405,,,,1,1,Freestone 2022,apomixis indicated,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Prasophyllum odoratum,2406,,,,,2,Bernhardt & Burns -Balogh 1986b; D. L. Jones in Bower 2001q,,,,Austr,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Prasophyllum pallidum,2407,,1,,1,,Bates 1978 cited by Catling 1990,,not verified,,SW Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Calochilus caeruleus,2447,,,,,,Bower & Branwhite 1993,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Calochilus campestris,2448,,1,1,1,2,Bates 2009; Cady 1972; Kuiter 2016,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Calochilus holtzei,2450,,1,1,1,,Jones and Gray 1974,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Calochilus paludosus,2451,,1,,1,,Bates 1978 cited by Catling 1990,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Calochilus platychilus,2452,,,,,,Bates 2009 cited by Gaskett 2011,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Calochilus robertsonii,2454,,1,,1,,Bates 1978 cited by Catling 1990,,,,Austra,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Brownleea coerulea,2455,,1,,,1,Larsen et al. 2008,,,,"S Afr, Mad",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Brownleea parviflora,2458,,1,,,1,Larsen et al. 2008,,,,S Afr,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Disperis oppositifolia,2472,,1,,1,1,Jacquemyn et al. 2005,,,,Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Disperis tripetaloides,2479,,1,,1,1,Jacquemyn et al. 2005,,,,Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Disperis virginalis,2482,,,,,,van der Cingel 2001,,,,S Afr,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Ceratandra atrata,2484,,,,,,"Steiner et al. 2011, Linder & Kurzweil 1999 cited by Steiner et al. 2011",,,,S Af,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Benthamia nigrescens,2533,,1,,1,1,Jacquemyn et al. 2005,,,,Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cynorkis cadetii,2543,,1,,1,1,Jacquemyn et al. 2005,,,,Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cynorkis citrata,2544,,1,,1,1,Jacquemyn et al. 2005,,,,Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cynorkis coccinelloides,2545,,1,,1,1,Jacquemyn et al. 2005,,,,Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cynorkis falcata,2546,,1,,1,1,Jacquemyn et al. 2005,,,,Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cynorkis fastigiata,2547,,1,,1,1,Jacquemyn et al. 2005,,,,Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cynorkis graminea,2548,,1,,1,1,Jacquemyn et al. 2005,,,,Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cynorkis purpurascens,2549,,1,,1,1,Jacquemyn et al. 2005,,,,Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cynorkis rosellata,2550,,1,,1,1,Jacquemyn et al. 2005,,,,Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cynorkis squamosa,2551,,1,,1,1,Jacquemyn et al. 2005,,,,Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cynorkis villosa,2553,,1,,1,1,Jacquemyn et al. 2005,,,,Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Galearis rotundifolia,2574,,,,,,Catling  & Kostiuk 2011; Argue 2012b,,,,N Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Habenaria amalfitana,2589,,1,,1,2,Ackerman & Collaborators 2014 ,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Habenaria ciliolaris,2590,,1,,,1,Tan et al. 2025,,,,China,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Habenaria decaryana,2593,,,,,,Nilsson & Jonsson 1985,,,,Mad,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Habenaria malintana,2607,,1,,1,1,Zhang & Gao 2018,,,all breed exp set fruit & seed,Asia China (Yunnan),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Habenaria pleiophylla,2616,,1,,,1,Moreira et al. 1996; Singer et al. 2007,,,,S Am Bra (Rio Grande do Sur),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Habenaria praealta,2617,,1,,1,1,Jacquemyn et al. 2005,,,,(Mascarenes (Reunion),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Habenaria repens,2619,,1,,1,2,Ackerman & Collaborators 2014 ,,,,WI,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Habenaria rodeiensis,2621,,1,,1,2,Catling 1990,,,,C Am Belize,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Habenaria sagittifera,2623,,,,,,Sakagami & Sugiura 2019,,,,Japan (Honshu Island),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Habenaria tridactylites,2626,,,,,,Claessens et al. 2019,,,,Canary Is,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Herminium lanceum,2628,,1,,,1,Prakash & Pathak 2020,,,,Asia India,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Neotinea lactea,2639,,,,,,Cozzolino et al. 2001; Claessens & Kleynen 2018,,,,E Med,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Pecteilis susannae,2864,,,,,,Kunth & Loew 1906,,,,Nepal SE Asia China Malesia New Guinea,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Peristylus goodyeroides,2866,,,,,,Huda & Wilcock 2008,,,,Asia Bangladesh,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Peristylus grandis,2867,,1,1,1,2,Smith 1928 cited by Catling 1990,,,,Malesia (Java),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Platycoryne pervillei,2915,,,,,,Fibeck and Phiri 1998 cited by Johnson 2024b,,,,Afr Zimbabwe,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Cleistes libonii,3109,,1,,,1,Pansarin 2003,,,,S Am Bra (São Paulo),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Cleistes rosea,3115,,,,,,Pansarin et al. 2012,,,,S Am Bra (Goiás),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Cleistes tenuis,3116,,,,,,Pansarin et al. 2012,,,,S Am,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Lecanorchis javanica,3130,,1,,1,,Smith 1928 cited by Catling 1990,,,,Malesia (Java),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Lecanorchis kiusiana,3131,,1,,1,,Chuma 1980 cited by Inoue et al. 1995,,,,Asia Japan ,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Lecanorchis multiflora,3132,,1,,1,2,Inoue et al. 1995,,,,SE Asia Malesia (Sarawak),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
