island_id,analysis_regime,island_latitude,island_longitude,distance_to_continent_km,spherical_coast_distance_km,seconds,island_segment_count
gshhg_2.3.7_h_25a469aee33f84fba219,tropical,21.15683569230769,110.5270771895156,0.0,0.077453854779757,0.0319999998901039,44
gshhg_2.3.7_h_25be77af97d8c6d7780c,northern_midlatitude,54.46598315384615,-57.22012056512548,0.0,9.273914587746535,0.0160000000614672,26
gshhg_2.3.7_h_26a3325639e1f06d3afa,southern_extratropical,-25.419660384615383,-48.291210269166605,0.0,0.106752362901609,0.0779999999795109,104
gshhg_2.3.7_h_26d296b7e16f1421fdde,tropical,-13.01567323076923,-38.69154622519796,0.0,0.5049086839787309,0.0470000000204891,89
gshhg_2.3.7_h_26f80fd3b2da9544f3db,northern_high_latitude,69.90740803846154,19.66108706438725,0.0,4.145883436975956,0.0309999999590218,32
gshhg_2.3.7_h_26f91b32f2e8afb515f8,tropical,-13.021134230769231,-38.771774461538506,0.0,0.6111703667302769,0.0150000001303851,13
gshhg_2.3.7_h_2782acb8430e2c20b513,northern_midlatitude,53.05382884615385,-55.82342428608231,0.0,0.1000875535141116,0.0159999998286366,57
gshhg_2.3.7_h_278754ec700369f7591a,northern_midlatitude,62.420712461538464,6.2079195725702405,0.0,0.0803410995987861,0.0160000000614672,39
gshhg_2.3.7_h_27b3ac86ee2d3ae14676,northern_midlatitude,54.28890607692308,-130.30756632210566,0.0,0.0930124627820953,0.0470000000204891,32
gshhg_2.3.7_h_280594ad0c169eacf16b,tropical,-1.1408475,-48.38456184826844,0.0,1.1652239664490436,0.0620000001508742,42
gshhg_2.3.7_h_284e8e8493cdccfc7663,northern_high_latitude,66.8480446923077,13.63955810628364,0.0,0.5121136258733933,0.0309999999590218,20
gshhg_2.3.7_h_28a34cec8f7a91f914c7,northern_midlatitude,63.046480692307696,18.524178001159413,0.0,0.2519921568763623,0.0159999998286366,21
gshhg_2.3.7_h_292ad07eafb64888a0bd,tropical,-23.16255969230769,-44.23970868092313,0.0,3.062164132663056,0.0309999999590218,115
gshhg_2.3.7_h_29333956ea2d160cc5ab,northern_midlatitude,50.20823715384615,-125.09146387502568,0.0,4.515708574949952,0.0309999999590218,64
gshhg_2.3.7_h_295d8be7e3292e97008b,southern_extratropical,-23.584689846153847,150.92180890631218,0.0,0.0350181362792227,0.0470000000204891,21
gshhg_2.3.7_h_29a9e1a3bf838ef3ada6,northern_midlatitude,60.41852988461538,28.49051681380655,0.0,2.5911671251917148,0.0470000000204891,39
gshhg_2.3.7_h_29ba71b1b2a382ce0e76,tropical,22.479080923076925,113.00033077163776,0.0,0.1378037210334771,0.0470000000204891,14
gshhg_2.3.7_h_29e42cdb13e6d56c7f52,northern_midlatitude,50.21910015384615,-63.15001399985305,0.0,0.5932306667729673,0.0150000001303851,32
gshhg_2.3.7_h_2a73147661b15447508f,tropical,-14.9754305,128.39891112978347,0.0,0.1598141853841806,0.0619999999180436,42
gshhg_2.3.7_h_2abf0a192f035d3803e3,northern_midlatitude,56.62117984615384,-132.80315873074275,0.0,5.40602221560348,0.0319999998901039,124
gshhg_2.3.7_h_2af6488a20c92c1c1ccb,tropical,0.3349806923076923,-50.4040596386898,0.0,8.729829132755865,0.0469999997876584,94
gshhg_2.3.7_h_2ba3c14da1b2d3190c25,southern_extratropical,-41.57885684615385,-73.003310481982,0.0,1.0757916547275674,0.0159999998286366,18
gshhg_2.3.7_h_2bfab6ae422773924ddd,northern_midlatitude,29.181014,121.96509686538616,0.0,1.525899347026194,0.0159999998286366,9
gshhg_2.3.7_h_2c599acd008388f74d21,northern_midlatitude,60.560819,5.108782231256952,0.0,0.9846137892153028,0.0149999998975545,66
gshhg_2.3.7_h_2d80ec90df4da0ce0b76,northern_midlatitude,30.12425007692308,-89.68535371853515,0.0,1.8746126028609704,0.0310000001918524,27
gshhg_2.3.7_h_2d86abfe042fd3dda39f,northern_midlatitude,63.00129061538462,21.38763229698728,0.0,1.6655118363995105,0.0,29
gshhg_2.3.7_h_2d8cf6fa52bfdaa3cf04,southern_extratropical,-42.03805730769231,-72.49216779805084,0.0,1.1400678110154694,0.0470000000204891,14
