source_row_number,Reference,PubYear,Family,Genus,species,Genus species,Monocot/Dicot/Gymno,"Lform(0=ann,1=Hper,2=Wper)","Pollination(0=anim,1=wind,2=water)",MarkerType,nMarkers,"PopType (0=natural, 1= experimental, 2=seed orchard, 3=agricultural)",nPops(t),Mean-tm,Mean ts,Upper-tm,Where-t,nPops(F),Mech of selfing,Use for t & F?,Mean-F,Lower-F,Upper-F,Where-F,Reference.1
336,Neale & Adams 1985a,1985,Pinaceae,Abies,balsamea,Abies  balsamea,G,2,1,I,,0,1,0.887,0.78,0.99,??,,,0,,,,,"Neale, D. B., and W. T. Adams. 1985. Allozyme and mating-system variation in balsam fir (Aibes balsamea) across a continuous elevational transect. Canadian Journal of Botany 63:2448-2453."
337,Paule et al. 1993,1993,Pinaceae,Picea,abies,Picea  abies,G,2,1,M,,2,2,0.965,0.95,0.98,Abstract,,,0,,,,,"Paule, L., D. Lindgren, and R. Yazdani. 1993. Allozyme Frequencies, Outcrossing Rate and Pollen Contamination in Picea abies Seed Orchards. Scandinavian Journal of Forest Research 8:8-17."
338,Politov & Krutovskii 1990,1990,Pinaceae,Pinus,sibirica,Pinus  sibirica,G,2,1,I,,0,7,0.854,,,??,,,0,,,,,"Politov D.V., K.V. Krutovskii. 1990. Genetic variability in Siberian stone pine, Pinus sibirica Du Tour. V. Analysis of mating system. Genetika (Russian) 26(11): 2002-2011 (translated in English as Soviet Genetics (1991) 26: 1309-1316)."
339,Potenko & Velikov 2001,2001,Pinaceae,Pinus,koraiensis,Pinus koraiensis,G,2,1,I,4,0,5,0.8778,0.751,0.986,Table 4,5,,1,0.0088,-0.105,0.113,Table 4,"Potenko, V. V., and A. V. Velikov. 2001. Allozyme variation and mating system of coastal populations of Pinus koraiensis SIEB. et ZUCC. in Russia. Silvae Genetica 50:117-122."
340,Rajora et al. 2000,2000,Pinaceae,Picea,rubens,Picea  rubens,G,2,1,I,,0,10,0.595,0.469,0.839,Table 5 (range for multilocus estimate),10,,1,-0.012,,,Table 2 (mean fixation index),"Rajora OP, Mosseler A, JE Major. 2000. Indicators of population viability in red spruce, Picea rubens. II. Genetic diversity, population structure, and mating behaviour. Can J Bot 78:941-956"
341,Rajora et al. 2002,2002,Pinaceae,Pinus,strobus,Pinus  strobus,G,2,1,I,6,0,9,0.924,0.867,0.991,Table 2,9,,1,-0.149,-0.266,0.035,Table 5,"Rajora, O. P., A. Mosseler, and J. E. Major. 2002. Mating system and reproductive fitness traits of eastern white pine (Pinus strobus) in large, central versus small, isolated, marginal populations. Canadian Journal of Botany 80:1173-1184."
342,Robledo-Arnuncio et al. 2004,2004,Pinaceae,Pinus,sylvestris,Pinus  sylvestris,G,2,1,U,5,0,5,0.9248,0.748,0.989,Table 2,,,0,,,,,"Robledo-Arnuncio, J. J., R. Alia, and L. Gil. 2004. Increased selfing and correlated paternity in a small population of a predominantly outcrossing conifer, Pinus sylvestris. Molecular Ecology 13:2567-2577."
343,Schroeder 1989,1989,Pinaceae,Abies,alba,Abies  alba,G,2,1,I,,0,1,0.89,,,Abstract,,,0,,,,,"Schroeder, S. 1989. Outcrossing Rates and Seed Characteristics in Damaged Natural-Populations of Abies alba Mill. Silvae Genetica 38:185-185."
344,Shaw & Allard 1982,1982,Pinaceae,Pseudotsuga,menziesii,Pseudotsuga menziesii,G,2,1,I,,0,8,0.9,0.86,0.96,Table 4 (range for multilocus estimate),,,0,,,,,"Shaw DV, RW Allard. 1982. Estimation of outcrossing rates in Douglas-fir using isozyme markers. Theor Appl Genet 62:113-120"
345,"Rajora et al. 2000, Rajora et al. 2002, Robledo-Arnuncio et al. 2004, Schroeder 1989, Shaw & Allard 1982","2000, 2002, 2004, 1989, 1982",Pinaceae,Pseudotsuga,menziesii,Pseudotsuga  menziesii,G,2,1,I,,0,30,0.8175757575757576,0.62,1.12,"Table 5 (range for multilocus estimate), Table 2, Table 2, Abstract, Table 4 (range for multilocus estimate)",,,0,,,,,Species summary
346,Shea 1987,1987,Pinaceae,Abies,lasiocarpa,Abies  lasiocarpa,G,2,1,I,7,0,2,0.7949999999999999,0.65,0.94,Table 1,2,,1,-0.10200000000000001,-0.107,-0.097,Table 5,"Shea, K. L. 1987. Effects of population structure and cone production on outcrossing rates in Engelmann spruce and subalpine fir. Evolution 41:124-136."
347,Shea 1987,1987,Pinaceae,Picea,engelmannii,Picea engelmannii,G,2,1,I,6,0,2,0.89,0.85,0.93,Table 1,2,,1,-0.03425,-0.0455,-0.023,Table 5,"Shea, K. L. 1987. Effects of population structure and cone production on outcrossing rates in Engelmann spruce and subalpine fir. Evolution 41:124-136."
348,Sorensen 2001,2001,Pinaceae,Pinus,contorta,Pinus contorta,G,2,1,I &M,?,0,3,0.916,0.787,0.983,Table 1,,,0,,,,,Sorensen FC. 2001. Effect of population outcrossing rate on inbreeding depression in Pinus contorta var. murrayana seedlings. Scandinavian Journal of Forest Research 16:391-403
349,Sorenson 1973,1973,Pinaceae,Pseudotsuga,menziesii,Pseudotsuga  menziesii,G,2,1,I &M,,0,16,0.930625,0.88,1.065,Table 1 (selfing rate) range from past database,,,0,,,,,Sorensen FC. 1973. Frequency of seedlings from natural self-fertilization in coastal Douglas fir. Silvae Genetica 22:20-24
350,Sproule (in Barrett et al.1987),19??,Pinaceae,Picea,mariana,Picea  mariana,G,2,1,I,,0,2,0.898,0.7,0.98,??,,,0,,,,,"Barrett, J. W., P. Knowles, and w. M. Cheliak. 1987. The mating system in a black spruce clonal orchard. Canadian Journal of Forest Science 17:379-382."
351,Squillace & Kraus 1962,1962,Pinaceae,Pinus,elliotii,Pinus  elliotii,G,2,1,M,,0,1,0.94,,,??,,,0,,,,,"Squillace, A. E., and J. F. Kraus. 1962. Effects of inbreeding on seed yield, germination, rate of germination and seedling growth in Slash Pine. For. Gen. Workshop, Macon, GA"
352,Yeh & Morgan 1987,1987,Pinaceae,Pseudotsuga,menziesii,Pseudotsuga  menziesii,G,2,1,I,10,0,1,0.887,,,Table 2,,,0,,,,,"Yeh FC, K Morgan. 1987. Mating system and multilocus associations in a natural population of Pseudotsuga menziesii (Mirb.) Franco. Theor Appl Genet 73:799-808"
353,Wadt & Kageyama 2004,2004,Piperaceae,Piper,hispidinervum,Piper hispidinervum,D,1,0,R,?,0,1,1.086,,,Results,1,,1,0.05,,,,"Wadt, L. H. D., and P. Y. Kageyama. 2004. Genetic structure and mating system of Piper hispidinervum. Pesquisa Agropecuaria Brasileira 39:151-157."
354,Wolff et al. 1988,1988,Plantaginaceae,Plantago,coronopus,Plantago coronopus,D,1,1,I,7,0,3,0.576,0.34,0.75,Table 4,3,,1,-0.0376,-0.184,0.08,Table 4,"Wolff K, Friso B, JMM van Damme. 1988. Outcrossing rates and male sterility in natural populations of Plantago coronopus. Theor Appl Genet 76:190-196"
355,Abdel-Ghani et al. 2004,2004,Poaceae,Hordeum,spontaneum,Hordeum  spontaneum,M,1,1,U,4,0,12,0.0047,0,0.018,Table 3,,cleis,0,,,,,"Abdel-Ghani, A. H., H. K. Parzies, A. Omary, and H. H. Geiger. 2004. Estimating the outcrossing rate of barley landraces and wild barley populations collected from ecologically different regions of Jordan. Theoretical and Applied Genetics 109:588-595."
356,Abdel-Ghani et al. 2004,2004,Poaceae,Hordeum,vulgare,Hordeum  vulgare,M,0,1,U,4,0,12,0.0019,0,0.005,Table 3,,cleis,0,,,,,"Abdel-Ghani, A. H., H. K. Parzies, A. Omary, and H. H. Geiger. 2004. Estimating the outcrossing rate of barley landraces and wild barley populations collected from ecologically different regions of Jordan. Theoretical and Applied Genetics 109:588-595."
357,"Abdel-Ghani et al. 2004, Abdel-Ghani et al. 2004","2004, 2004",Poaceae,Hordeum,spontaneum,Hordeum  spontaneum,M,1,1,I&U,3,0,19,0.0033000000000000004,0,0.034,"Table 3, Table 3",,cleis,0,,,,,Species summary
358,Adams & Allard 1982,1982,Poaceae,Festuca,microstachys,Festuca  microstachys,M,0,1,I,,0,23,0.001,0.01,0.084,Results,,0,0,,,,,"Adams WT, RW Allard. 1982. Mating system variation in Festuca microstachys. Evolution 36:591–595"
359,Allard et al. 1972,1972,Poaceae,Avena,barbata,Avena  barbata,M,0,1,I,1,0,12,0.02,0,0.07,??,,cleis,0,,,,,"Allard, R. W., G. R. Babbel, M. T. Clegg, and A. L. Kahler. 1972. Evidence for coadaptation in Avena barbata. Proceedings of the National Academy of Sciences USA 69:3043-3048."
360,Allard et al. 1972,1972,Poaceae,Hordeum,vulgare,Hordeum  vulgare,M,0,1,I,4,1,1,0.006,,,Results (Amount of Outcrossing),,cleis,0,,,,,"Allard RW, Kahler AL, BS Weir. 1972. The effect of selection on esterase allozymes in a barley population. Genetics 72:489-503"
361,Allard et al. 1972,"1982, 1972, 1972",Poaceae,Avena,barbata,Avena  barbata,M,0,1,I,,0,12,0.007472222222222223,0,0.07,"Results, ??, Results (Amount of Outcrossing)",,cleis,0,,,,,Species summary
362,"Allard et al. 1972, Allard et al. 1972, Allard et al. 1972","1972, 1972, 1982, 1972, 1972",Poaceae,Hordeum,vulgare,Hordeum  vulgare,M,0,1,I&U,3.3,0&1,23,0.013426666666666667,0,0.03,"??, Results (Amount of Outcrossing), Results, ??, Results (Amount of Outcrossing)",,cleis,0,,,,,Species summary
363,Babbel & Wain 1977,1977,Poaceae,Hordeum,jubatum,Hordeum  jubatum,M,1,1,I,,0,2,0.013,0.01,0.02,??,,,0,,,,,"Babbel, G. R., and R. P. Wain. 1977. Genetic structure of Hordeum jubatum. I. Outcrossing rates and heterozygosity levels. Canadian Journal of Genetics and Cytology 19:143-152."
364,Brown et al. 1974,1974,Poaceae,Bromus,mollis,Bromus  mollis,M,0,1,I,,0,1,0.0935,,,??,,,0,,,,,"Brown, A. H. D., D. R. Marshall, and L. Albrecht. 1974. The maintenance of alcohol dehydrogenase polymorphism in Bromus mollis L. Australian Journal of Biological Science 27:545-559."
365,"Babbel & Wain 1977, Brown et al. 1974","1977, 1974",Poaceae,Bromus,mollis,Bromus  mollis,M,0,1,I,,0,27,0.03983333333333333,0,0.1,"??, ??",,,0,,,,,Species summary
366,Brown et al. 1978,1978,Poaceae,Hordeum,spontaneum,Hordeum  spontaneum,M,1,1,I,2,0,7,0.0149,0,0.034,Table 3,,auton,0,,,,,"Brown, A. H. D., D. Zohary, and E. Nevo. 1978. Outcrossing rates and heterozygosity in natural populations of Hordeum spontaneum Koch in Isreal. Heredity 41:49-62."
367,Bush & Barrett 1993,1993,Poaceae,Deschampsia,cespitosa,Deschampsia  cespitosa,M,1,1,I,3,0,2,0.92,0.87,0.97,Table 5 (range for multi-locus estimate),,auton,0,,,,,"Bush EJ, SCH Barrett. 1993. Genetics of mine invasions by Deschampsia cespitosa (Poaceae). Can. J. Bot. 71:1336-1348"
368,Clegg 1972,1972,Poaceae,Avena,fatua,Avena  fatua,M,0,1,M,,0,4,0.025,0.01,0.1,??,,,0,,,,,"Clegg, M. T., and R. W. Allard. 1972. Patterns of genetic differentiation in the slender wild oat species Avena barbata. Proceedings of the National Academy of Sciences U.S.A. 69:1820–1824."
369,"Bush & Barrett 1993, Clegg 1972","1993, 1972",Poaceae,Avena,fatua,Avena  fatua,M,0,1,M,,0,4,0.32333333333333336,0.01,0.1,"Table 5 (range for multi-locus estimate), ??",,,0,,,,,Species summary
370,Djé et al. 2004,2004,Poaceae,Sorghum,bicolor,Sorghum bicolor,M,0,1,U,5,3,2,0.115,0.069,0.161,Table 3,,,0,,,,,"Dje, Y., M. Heuertz, M. Ater, C. Lefebvre, and X. Vekemans. 2004. In situ estimation of outcrossing rate in sorghum landraces using microsatellite markers. Euphytica 138:205-212."
371,Ennos 1985,1985,Poaceae,Cynosurus,cristatus,Cynosurus  cristatus,M,1,1,I,4,0,3,0.96,0.93,1.02,Table 1 (range for multilocus estimate),3,,1,0.013,-0.059,0.065,Table 4 (FIT for total population),"Ennos RA. 1985. The mating system and genetic structure in a perennial grass, Cynosurus cristatus L.. Heredity 55:121-126"
372,Golenberg 1988,1988,Poaceae,Triticum,dicoccoides,Triticum  dicoccoides,M,0,1,I,,0,1,0,,,??,,,0,,,,,"Golenberg, E. M. 1988. Outcrossing rates and their relationship to phenology in Triticum dicoccoides. Theoretical and Applied Genetics 75:937-944."
373,Hamrick & Allard 1972,1972,Poaceae,Avena,barbata,Avena  barbata,M,0,1,I,,0,12,0.02,0,0.07,??,,,0,,,,,"Hamrick, J. L., and R. W. Allard. 1972. Microgeographical variation in allozyme frequencies in Avena barbata. Proceedings of the National Academy of Sciences USA 69:2100-2104."
374,Imam & Allard 1965,1965,Poaceae,Avena,fatua,Avena  fatua,M,0,1,M,,0,4,0.025,0.01,0.1,??,,,0,,,,,"Imam, A. G., and R. W. Allard. 1965. Population studies in predominantly self-pollinated species. VI. Genetiv variability between and within natural populations of wild oats from differing habitats in California. Genetics 51:49-62."
375,Jain 1975,1975,Poaceae,Avena,sterilis,Avena  sterilis,M,0,1,I,,0,11,0.04,0,0.06,Table 2.3,,,0,,,,,"Jain, S. K. 1975. Population structure and the effects of breeding system. Pp. 15-36 in O. H. Frankel and J. G. Hakwes, eds. Crop genetics resources for today and tomorrow. Cambridge University Press, Cambridge, U.K."
376,Jain 1975,1975,Poaceae,Bromus,mollis,Bromus  mollis,M,0,1,I,,0,26,0.035,0,0.1,Table 2.3,,,0,,,,,"Jain, S. K. 1975. Population structure and the effects of breeding system. Pp. 15-36 in O. H. Frankel and J. G. Hakwes, eds. Crop genetics resources for today and tomorrow. Cambridge University Press, Cambridge, U.K."
377,Jain 1975,1975,Poaceae,Bromus,rubens,Bromus  rubens,M,0,1,I,,0,6,0,0,0,Table 2.3,,,0,,,,,"Jain, S. K. 1975. Population structure and the effects of breeding system. Pp. 15-36 in O. H. Frankel and J. G. Hakwes, eds. Crop genetics resources for today and tomorrow. Cambridge University Press, Cambridge, U.K."
378,MacDonald & Lieffers 1991,1991,Poaceae,Calamagrostis,canadensis,Calamagrostis  canadensis,M,1,1,I,5,0,3,0.928666666666667,0.888,0.998,Table 4,,,0,,,,,"Macdonald, S. E., and V. J. Lieffers. 1991. Population variation, outcrossing, and colonization of disturbed areas by Calamagrostis canadensis - Evidence from allozyme analysis. American Journal of Botany 78:1123-1129."
379,Marshall & Allard 1970,1970,Poaceae,Avena,barbata,Avena  barbata,M,0,1,I,,0,12,0.02,0,0.07,??,,,0,,,,,"Marshall, D. R., and R. W. Allard. 1970. Maintenance of isozyme polymorphisms in natural populations of Avena barbata. Genetics 66:393-399."
380,Mitton et al.,unpubl,Poaceae,Lolium,multiflorum,Lolium  multiflorum,M,1,1,I,,0,1,0.82,,,,,,0,,,,,Mitton et al. unpublished data
381,Morishima & Barbier 1990,1990,Poaceae,Oryza,rufipogon,Oryza  rufipogon,M,0,1,I,8,1,3,0.369,0.043,0.559,Table 4 (range for multilocus estimate),,,0,,,,,"Morishima H, P Barbier. 1990. Mating system and genetic structure of natural populations in wild rice Oryza rufipogon. Plant Species Biol 5:31-39"
382,Parzies et al. 2000,2000,Poaceae,Hordeum,vulgare,Hordeum  vulgare,M,0,1,I,2,0,10,0.0172,0.002,0.03,Table 1,10,,1,0.866,0.696,0.963,Table 1,"Parzies, H. K., W. Spoor, and R. A. Ennos. 2000. Outcrossing rates of barley landraces from Syria. Plant Breeding 119:520-522."
383,"Petit, et al. 1997",1997,Poaceae,Arrhenatherum,elatius,Arrhenatherum  elatius,M,1,1,I,3,0,4,0.7035,0.541,0.93,Table 3 - all four pops,,,0,,,,,"Petit, C., P. Lesbros, X. J. Ge, and J. D. Thompson. 1997. Variation in flowering phenology and selfing rate across a contact zone between diploid and tetraploid Arrhenatherum elatius (Poaceae). Heredity 79:31-40."
384,Sanders & Hamrick 1980,1980,Poaceae,Elymus,canadensis,Elymus  canadensis,M,1,1,I,,0,15,0.069,0,0.251,Table 1,,,0,,,,,"Sanders TB, JL Hamrick. 1980. Variation in the breeding system of Elymus canadensis. Evolution 34(1):117-122"
385,Sun & Corke 1992,1992,Poaceae,Secale,montanum,Secale montanum,M,0,1,I,10,0,5,0.92,0.86,0.97,Table 2,5,,1,0.04,-0.02,0.1,Table 2,"Sun M, H Corke. 1992. Population genetics of colonizing success of weedy rye in Northern California. Theor Appl Genet 83: 321-329"
386,Travis et al. 2004,2004,Poaceae,Spartina,alterniflora,Spartina alterniflora,M,1,1,A&R,20,0,3,0.782,0.67,0.887,Fig. 4,3,,1,-0.152,-0.279,-0.018,Table 4,"Travis, S. E., C. E. Proffitt, and K. Ritland. 2004. Population structure and inbreeding vary with successional stage in created Spartina alterniflora marshes. Ecological Applications 14:1189–1202."
387,Zohary & Imber 1963,1963,Poaceae,Triticum,speltoides,Triticum  speltoides,M,0,1,I,,0,1,0.85,,,??,,,0,,,,,"Zohary, D., and D. Imber. 1963. Genetic dimorphism in fruit types in Aegilops speltoides. Heredity 18:223-231."
388,Goodwillie 2000,2000,Polemoniaceae,Linanthus,bicolor,Linanthus bicolor,D,0,0,I,,0,2,0.038,0.001,0.075,Table 1,2,,1,0.757,0.569,0.944,Table 1,Goodwillie C. 2000. Inbreeding depression and mating systems in two species of Linanthus (Polemoniaceae)
389,Goodwillie 2000,2000,Polemoniaceae,Linanthus,jepsonii,Linanthus jepsonii,D,0,0,I,,0,3,0.182,0.104,0.3,Table 1,3,,1,0.164,0.048,0.292,Table 1,Goodwillie C. 2000. Inbreeding depression and mating systems in two species of Linanthus (Polemoniaceae)
390,Levin 1978,1978,Polemoniaceae,Phlox,cuspidata,Phlox  cuspidata,D,0,0,I,1,0,1,0.22,,,Introduction,,,0,,,,,Levin DA. 1978. Genetic variation in annual phlox: self-compatible versus self-incompatible species. Evolution 32(2):245-263
391,Schoen 1982,1982,Polemoniaceae,Gilia,achilleifolia,Gilia  achilleifolia,D,0,0,I,2,0,7,0.573,0.15,0.96,Table 2,7,,1,0.16428571428571428,0.04,0.47,Table 4 (Fobs),Schoen DJ. 1982. Genetic variation and the breeding system of Gilia achilleifolia. Evolution 36:361-370
392,Watkins & Levin 1990,1990,Polemoniaceae,Phlox,drummondii,Phlox  drummondii,D,0,0,I,4,0,20,0.86,0.689,1.015,Table 2,20,,1,0.352,-0.105,0.381,Table 4,"Watkins L, DA Levin. 1990. Outcrossing rates in Phlox as related to plant density. Heredity 65: 81-89"
393,Neel et al. 2001,2001,Polygonaceae,Eriogonum,ovalifolium var. vineum,Eriogonum ovalifolium var. vineum,D,1,0,I,4,0,6,0.8,0.68,0.89,Table 1,6,,1,-0.1,-0.45,0.35,Fig. 2,"Neel, M. C., J. Ross-Ibarra, and N. C. Ellstrand. 2001. Implications of mating patterns for conserrvation of the endangered plant Eriogonum ovalifolium var. vineum (Polygonaceae). American Journal of Botany 88:1214–1222."
394,Barrett & Husband 1990,1990,Pontederiaceae,Eichhornia,paniculata,Eichhornia paniculata,M,0,0,I,,0,31,0.567,0,1,Results,,auton,0,,,,,"Barrett, S. C. H., and B. C. Husband. 1990. Variation in outcrossing rates in Eichhornia paniculata: The role of demographic and reproductive factors. Plant Species Biology 5:41-55."
395,Barrett 1979,1979,Pontederiaceae,Eichhornia,crassipes,Eichhornia crassipes,M,1,0,M,,0,1,0.613,,,Results,,auton,0,,,,,Barrett SCH. 1979. The evolutionary breakdown of tristyly in Eichhornia crassipes (Mart.) Solms (water hyacinth). Evolution 33:499-510
396,Barrett et al. unpubl,unpubl,Pontederiaceae,Monochoria,korsakowii,Monochoria korsakowii,M,1,0,M,,0,1,0.5066666666666667,,,,,,0,,,,,Barrett et al. unpublished data
397,Waycott & Sampson 1997,1997,Posidoniaceae,Posidonia,australis,Posidonia australis,M,1,2,I,,0,1,0.5857142857142857,0.2,0.89,Table 4 (range for multilocus estimate),,,0,,,,,"Waycott M, JF Sampson. 1997. The mating system of an hydrophilous angiosperm Posidonia australis (Posidoniaceae). Am J Bot 84(5):621-625"
398,Reusch 2000,2000,Potamogetonaceae,Zostera,marina,Zostera marina,M,1,2,U,8,0,2,0.965,0.96,0.97,Results,,,0,,,,,"Reusch, T. B. H. 2000. Pollination in the marine realm: microsatellites reveal high outcrossing rates and multiple paternity in eelgrass Zostera marina. Heredity 85:459-464."
399,Reusch 2001,2001,Potamogetonaceae,Zostera,marina,Zostera marina,M,1,2,U,8,0,2,0.79,0.65,0.93,Fig. 3,2,,1,0.0705,0.054,0.087,Results,"Reusch, T. B. H. 2001. Fitness-consequences of geitonogamous selfing in a clonal marine angiosperm (Zostera marina). Journal of Evolutionary Biology 14:129-138."
400,Ruckelshaus 1995,1995,Potamogetonaceae,Zostera,marina,Zostera marina,M,1,2,I,2,0,1,0.84,,,Abstract,,,0,,,,,"Ruckelshaus, M. H. 1995. Estimates of outcrossing rates and of inbreeding depression in a population of the marine angiosperm Zostera marina. Marine Biology 123:583–593."
401,"Reusch 2000, Reusch 2001, Ruckelshaus 1995","2000, 2001, 1995",Potamogetonaceae,Zostera,marina,Zostera marina,M,1,2,I&U,6.5,0,5,0.8699999999999999,0.65,0.97,"Results, Fig. 3, Abstract",,,0,,,,,Species summary
402,"Piper et al., 1984",1984,Primulaceae,Primula,vulgaris,Primula vulgaris,D,1,0,I,2,0,1,0.852,,,Results,,,0,,,,,"Piper, J. G., B. Charlesworth, and D. Charlesworth. 1984. A high rate of self-fertilization and increased seed fertility of homostyle primroses. Nature 310:50-51."
403,Ayre et al. 1994,1994,Proteaceae,Grevillea,barklyana,Grevillea barklyana,D,2,0,I,2,0,3,0.35625,0.07,0.85,Table 3,4,"auton,geit",1,0.5860000000000001,0.42,0.77,Table 3,"Ayre D, Whelan RJ, Reid A. 1994. Unexpectedly high levels of selfing in the Australian shrub Grevillea barklyana (Proteaceae). Heredity 72:168-174"
404,Carthew et al. 1988,1988,Proteaceae,Banksia,paludosa,Banksia  paludosa,D,2,0,I,1,0,2,0.8,0.676,0.924,Table 6,2,"facil,geit",1,0.161,0.155,0.167,Table 4,"Carthew SM, Ayre DJ, RJ Whelan. 1988. High levels of outcrossing in populations of Banksia spinulosa Sm. and Banksia paludosa R.Br.. Aust J Bot 36:217-223"
405,Carthew et al. 1988,1988,Proteaceae,Banksia,spinulosa,Banksia  spinulosa,D,2,0,I,4,0,1,0.898,,,Table 5 (range for single-locus estimate),1,"facil,geit",1,0.002,,,Table 4,"Carthew SM, Ayre DJ, RJ Whelan. 1988. High levels of outcrossing in populations of Banksia spinulosa Sm. and Banksia paludosa R.Br.. Aust J Bot 36:217-223"
406,Coates & Sokolowski 1992,1992,Proteaceae,Banksia,cuneata,Banksia  cuneata,D,2,0,I,,0,4,0.815,0.67,0.95,Table 2,4,,1,0.06666666666666667,0,0.18,Table 3 (F of parents),"Coates DJ, RES Sokolowski. 1992. The mating system and patterns of genetic variation in Banksia cuneata AS George (Proteaceae). Heredity 69:11-20"
407,England et al. 2001,2001,Proteaceae,Grevillea,macleayana,Grevillea macleayana,D,2,0,U,2,0,3,0.15,0.06,0.225,Fig. 2,3,,1,0.21,0.07,0.24,Fig. 3,"England, P. R., F. Beynon, D. J. Ayre, and R. J. Whelan. 2001. A molecular genetic assessment of mating-system variation in a naturally bird-pollinated shrub: Contributions from birds and introduced honeybees. Conservation Biology 15:1645-1655."
408,Krauss 1994,1994,Proteaceae,Persoonia,mollis,Persoonia mollis,D,2,0,I,,0,6,1.16,1.03,1.38,Table 4 (range for multilocus estimate),4,,1,-0.035,-0.16,0.05,Table 2 (estimate of F),Krauss SL. 1994. Restricted gene flow within the morphologically complex species Persoonia mollis (Proteaceae): contrasting evidence from the mating system and pollen dispersal. Heredity 73:142-54
409,"England et al. 2001, Krauss 1994","2001, 1994",Proteaceae,Persoonia,mollis,Persoonia mollis,D,2,0,I&A,,0,7,0.8233333333333333,0.988,1.38,"Fig. 2, Table 4 (range for multilocus estimate)",,,0,,,,,
410,Krauss 2000,2000,Proteaceae,Persoonia,mollis,Persoonia mollis,D,2,0,A,,0,1,0.988,,,Abstract,,,0,,,,,"Krauss, S. L. 2000. Patterns of mating in Persoonia mollis (Proteaceae) revealed by an analysis of paternity using AFLP: implications for conservation. Australian Journal of Botany 48:349-356."
411,Sampson et al. 1994,1994,Proteaceae,Banksia,brownii,Banksia  brownii,D,2,0,I,4,0,2,0.715,0.68,0.75,Table 2 (range for multilocus estimate),2,,1,0.065,0,0.13,Table 4 (fixation index of parents),"Sampson JF, Collins BG, DJ Coates. 1994. Mixed mating in Banksia brownii Baxter ex R. Br. (Proteaceae). Aust. J of Bot. 42: 103-111"
412,Scott 1980,1980,Proteaceae,Banksia,attenuata,Banksia  attenuata,D,2,0,I,2,0,1,1.1,1.05,1.15,Table 4,1,,1,-0.06,,,Table 3,Scott JK. 1980. Estimation of the outcrossing rate for Banksia attenuata R. Br. and Banksia menziesii R. Br. (Proteaceae). Aust. J. Bot. 28:53–59
413,Scott 1980,1980,Proteaceae,Banksia,menziesii,Banksia  menziesii,D,2,0,I,1,0,1,1.04,,,Table 4,1,,1,-0.01,,,Table 3,Scott JK. 1980. Estimation of the outcrossing rate for Banksia attenuata R. Br. and Banksia menziesii R. Br. (Proteaceae). Aust. J. Bot. 28:53–59
414,Brunet & Eckert 1988,1998,Ranunculaceae,Aquilegia,coerulea,Aquilegia coerulea,D,1,0,I,4,0,1,0.469,,,Results,1,"facil, auton, geit",1,0.336,,,Results,"Brunet, J., and C. G. Eckert. 1998. Effect of floral morphology and display on outcrossing in blue columbine, Aquilegia caerulea (Ranunculaceae). Functional Ecology 12:596–606."
415,Eckert & Herlihy 2004,2004,Ranunculaceae,Aquilegia,canadensis,Aquilegia canadensis,D,1,0,I,2,0,38,0.225,0,0.545,Fig. 2,38,,1,0.134,-0.16,0.625,Fig. 2,"Eckert, C. G., and C. R. Herlihy. 2004. Using a cost-benefit approach to understanding the evolution of self-fertilization in plants: the perplexing case of Aquilegia canadensis (Ranunculaceae). Plant Species Biology 19:159–173."
416,Herlihy et al. unpubl,unpubl,Ranunculaceae,Aquilegia,viscosa,Aquilegia viscosa,D,1,0,I,2,0,2,0.387,0.381,0.393,na,2,,1,-0.377,-0.5,-0.255,na,Herlihy et al. 2005 unpublished data
417,Herlihy et al. unpubl,unpubl,Ranunculaceae,Aquilegia,vulgaris,Aquilegia vulgaris,D,1,0,I,2,0,2,0.365,0.303,0.427,na,2,,1,-0.0975,-0.289,0.094,na,Herlihy et al. 2005 unpublished data
418,Williams et al. 2001,2001,Ranunculaceae,Delphinium,barbeyi,Delphinium barbeyi,D,1,0,I &M,3,0,1,0.554,,,Table 6,1,,1,0,,,Table 6,"Williams, C. F., J. Ruvinsky, P. E. Scott, and D. K. Hews. 2001. Pollination, breeding system, and genetic structure in two sympatric Delphinium (Ranunculaceae) species. American Journal of Botany 88:1623–1633."
419,Williams et al. 2001,2001,Ranunculaceae,Delphinium,nuttallianum,Delphinium nuttallianum,D,1,0,I &M,4,0,4,0.926,0.88,0.973,Table 6,4,,1,0.058,0,0.117,Table 6,"Williams, C. F., J. Ruvinsky, P. E. Scott, and D. K. Hews. 2001. Pollination, breeding system, and genetic structure in two sympatric Delphinium (Ranunculaceae) species. American Journal of Botany 88:1623–1633."
420,Klekowski et al. 1994,1994,Rhizophoraceae,Rizophora,mangle,Rizophora  mangle,D,2,0,M,1,0,1,0.288,,,Results,,,0,,,,,"Klekowski EJ Jr, Lowenfeld R, PK Hepler. 1994. Mangrove genetics. II. Outcrossing and lower spontaneous mutation rates in Puerto Rican Rhizophora. Int. J. of Plant Sci 155:373-381"
421,Lowenfeld & Klekowski 1992,1992,Rhizophoraceae,Rizophora,mangle,Rizophora  mangle,D,2,0,M,1,0,1,0.048,,,Results,,,0,,,,,"Lowenfeld, R., and E. J. Klekowski. 1992. Mangrove genetics .1. Mating system and mutation rates of Rhizophora mangle in Florida and San Salvador Island, Bahamas. International Journal of Plant Sciences 153:394-399."
