accepted_species,genus,family,n_islands,n_records
Protium confusum,Protium,Burseraceae,2,3
Lonicera heckrottii,Lonicera,Caprifoliaceae,4,18
Impatiens bardotiae,Impatiens,Balsaminaceae,1,7
Juncus rigidus,Juncus,Juncaceae,8,53
Pterophylla hildebrandtii,Pterophylla,Cunoniaceae,1,92
Asarum tohokuense,Asarum,Aristolochiaceae,1,52
Aneilema umbrosum,Aneilema,Commelinaceae,2,6
Chrysosplenium tosaense,Chrysosplenium,Saxifragaceae,3,306
Hypericum beanii,Hypericum,Hypericaceae,2,3
Eremophila clarkei,Eremophila,Scrophulariaceae,2,5
Combretum albiflorum,Combretum,Combretaceae,1,146
Cathcartia betonicifolia,Cathcartia,Papaveraceae,3,8
Saurauia decurrens,Saurauia,Actinidiaceae,1,3
Pelargonium cucullatum,Pelargonium,Geraniaceae,2,8
Calophyllum recurvatum,Calophyllum,Calophyllaceae,1,15
Ilex oppositifolia,Ilex,Aquifoliaceae,1,12
Adinandra nunkokensis,Adinandra,Pentaphylacaceae,1,5
Hibbertia deplancheana,Hibbertia,Dilleniaceae,1,101
Cyclea madagascariensis,Cyclea,Menispermaceae,1,21
Passiflora macfadyenii,Passiflora,Passifloraceae,1,35
Dioscorea cephalocarpa,Dioscorea,Dioscoreaceae,1,7
Coelocarpum madagascariensis,Coelocarpum,Verbenaceae,1,25
Geniostoma erythrospermum,Geniostoma,Loganiaceae,1,34
Fritillaria montana,Fritillaria,Liliaceae,2,3
Pittosporum berberidoides,Pittosporum,Pittosporaceae,1,48
Eriocaulon thwaitesii,Eriocaulon,Eriocaulaceae,1,4
Palmeria montana,Palmeria,Monimiaceae,1,4
Potamogeton malainoides,Potamogeton,Potamogetonaceae,2,15
Ammannia pauciramosa,Ammannia,Lythraceae,1,4
Symplocos gracilis,Symplocos,Symplocaceae,1,6
Dendrophthora excisa,Dendrophthora,Viscaceae,1,3
Goeppertia colorata,Goeppertia,Marantaceae,1,2
Heliotropium derafontense,Heliotropium,Heliotropiaceae,1,2
Ceodes coronata,Ceodes,Nyctaginaceae,1,2
Quadrella morenoi,Quadrella,Capparaceae,1,3
Varronia areolata,Varronia,Cordiaceae,1,2
Goodenia arenicola,Goodenia,Goodeniaceae,1,1
Nepenthes palawanensis,Nepenthes,Nepenthaceae,1,2
Magnolia dawsoniana,Magnolia,Magnoliaceae,1,3
Smilax menispermoides,Smilax,Smilacaceae,1,3
Gaulettia parillo,Gaulettia,Chrysobalanaceae,1,1
Utricularia polygaloides,Utricularia,Lentibulariaceae,1,3
Alnus hakkodensis,Alnus,Betulaceae,1,1
Camellia maliflora,Camellia,Theaceae,1,1
Oxalis cajalbanensis,Oxalis,Oxalidaceae,1,1
Berberis sherriffii,Berberis,Berberidaceae,1,1
Halimium calycinum,Halimium,Cistaceae,1,1
Schizotorenia atropurpurea,Schizotorenia,Linderniaceae,1,1
Erythroxylum dumosum,Erythroxylum,Erythroxylaceae,1,1
Eschweilera pedicellata,Eschweilera,Lecythidaceae,1,1
Ouratea neuridesii,Ouratea,Ochnaceae,1,1
Epidendrum nocturnum,Epidendrum,Orchidaceae,23,510
Pluchea odorata,Pluchea,Asteraceae,110,935
Damnacanthus major,Damnacanthus,Rubiaceae,23,215
Medicago orbicularis,Medicago,Fabaceae,83,1139
Eragrostis ciliaris,Eragrostis,Poaceae,126,1008
Carex acutiformis,Carex,Cyperaceae,70,63289
Metrosideros robusta,Metrosideros,Myrtaceae,12,5592
Amperea xiphoclada,Amperea,Euphorbiaceae,21,1818
Spiraea rosalba,Spiraea,Rosaceae,61,215
Tabernaemontana coffeoides,Tabernaemontana,Apocynaceae,13,1412
Mentha gracilis,Mentha,Lamiaceae,41,434
Macrolenes stellulata,Macrolenes,Melastomataceae,5,85
Hibiscus cannabinus,Hibiscus,Malvaceae,19,74
Erica ciliaris,Erica,Ericaceae,12,5178
Hydriastele costata,Hydriastele,Arecaceae,6,101
Aphelandra pulcherrima,Aphelandra,Acanthaceae,6,30
Beilschmiedia erythrophloia,Beilschmiedia,Lauraceae,6,873
Primula malacoides,Primula,Primulaceae,7,145
Cyrtandra neohebridensis,Cyrtandra,Gesneriaceae,3,7
Breynia coronata,Breynia,Phyllanthaceae,7,80
Alocasia mortfontanensis,Alocasia,Araceae,7,11
Ranunculus cortusifolius,Ranunculus,Ranunculaceae,16,4559
Goniothalamus macranthus,Goniothalamus,Annonaceae,4,37
Camelina alyssum,Camelina,Brassicaceae,36,173
Cupaniopsis leptobotrys,Cupaniopsis,Sapindaceae,7,31
